name,age,Contract valid until,Overall rating,Potential,Value,Wage,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Acceleration,Sprint speed,Agility,Reactions,Balance,Shot power,Jumping,Stamina,Strength,Long shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Defensive awareness,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
I. Ilić,21,"Jun 30, 2023",77,84,21500000.0,21000.0,71,68,58,81,61,78,72,63,80,81,73,69,73,71,68,81,68,73,70,77,71,65,68,80,59,69,69,68,64,10,10,8,11,14
E. Hazard,31,2024,81,81,21500000.0,170000.0,77,74,61,81,82,86,83,79,80,85,80,79,78,77,87,81,55,73,61,76,53,41,83,84,83,88,34,27,22,11,12,6,8,8
Lee Kang In,21,2025,77,84,21500000.0,20000.0,73,73,65,79,75,80,77,81,75,80,76,75,82,68,87,76,33,59,59,69,67,29,75,78,70,72,26,23,28,11,12,12,8,14
E. Ávila,28,2026,80,80,21500000.0,40000.0,59,81,80,71,79,79,58,57,62,77,75,83,72,78,86,85,80,76,86,77,90,38,80,68,77,72,38,46,41,11,6,6,10,14
M. Almirón,28,2026,80,80,21000000.0,105000.0,72,79,43,79,75,83,78,68,67,80,89,86,86,81,68,78,48,86,53,72,69,57,82,77,69,79,57,58,49,6,9,13,13,12
K. Volland,29,2024,80,80,21000000.0,66000.0,78,82,76,80,85,79,79,80,74,79,70,69,73,80,78,86,76,82,85,83,80,45,84,80,72,83,36,50,38,8,7,9,7,12
R. Malinovskyi,29,"Jun 30, 2023",80,80,21000000.0,63000.0,79,74,74,82,70,82,85,86,80,83,76,76,69,79,73,89,74,82,81,86,78,66,79,82,84,75,55,72,50,6,6,12,15,13
Joselu,32,2025,81,81,21000000.0,29000.0,58,85,90,78,75,75,73,65,60,83,65,63,63,80,32,83,91,68,85,76,67,30,85,73,87,74,26,28,20,11,11,8,15,7
A. Sørloth,26,"Jun 30, 2023",79,80,21000000.0,60000.0,66,81,82,74,71,77,74,60,59,78,74,84,58,75,55,82,65,83,90,71,74,36,77,73,70,82,39,23,21,15,12,8,15,8
Coutinho,30,2026,80,80,20500000.0,88000.0,77,74,48,82,78,82,86,82,75,85,74,52,91,78,92,77,58,55,52,83,59,49,80,81,72,79,55,54,47,12,7,9,14,6
E. Forsberg,30,2025,80,80,20500000.0,58000.0,81,74,44,85,65,82,79,75,77,84,69,60,78,83,82,71,53,69,59,72,61,44,77,83,79,80,38,27,20,13,7,9,15,11
Á. Di María,34,2023,84,84,20500000.0,160000.0,85,74,53,87,78,90,92,88,81,91,80,79,91,84,75,83,70,74,61,86,72,42,82,89,73,89,41,55,52,10,7,11,12,11
Felipe Anderson,29,2024,80,80,20500000.0,63000.0,76,78,69,77,76,85,77,69,75,84,87,85,85,75,89,82,55,87,67,77,69,69,75,79,54,81,57,66,55,12,10,9,5,7
J. Corona,29,2025,80,80,20500000.0,38000.0,82,61,70,82,74,85,81,67,70,86,83,82,88,80,91,66,71,82,57,66,73,75,81,82,68,86,72,74,72,11,6,10,14,9
A. Saelemaekers,23,2026,78,82,20000000.0,57000.0,80,68,45,77,65,81,76,67,70,81,82,79,87,76,77,64,77,80,59,74,68,65,74,71,44,74,68,66,61,9,6,9,12,12
Rafa Mir,25,2027,78,82,20000000.0,30000.0,69,78,83,74,78,73,64,60,52,75,75,83,68,74,65,82,78,75,85,75,69,39,79,64,75,75,42,43,35,12,11,15,10,6
C. Ünder,24,2025,78,81,19500000.0,38000.0,82,74,62,76,72,80,84,68,75,81,83,76,79,77,81,78,47,69,47,77,37,29,75,79,77,74,43,33,30,9,13,7,9,8
N. Vlašić,24,"Jun 30, 2023",78,81,19500000.0,63000.0,71,73,65,80,71,82,70,72,74,82,79,78,78,77,88,80,55,78,70,80,75,62,75,77,66,77,54,62,37,6,14,15,9,14
M. Arnautović,33,2025,82,82,19500000.0,51000.0,77,81,79,81,79,77,78,72,74,84,76,78,70,78,77,84,77,76,86,82,77,38,79,79,77,79,40,42,39,14,15,10,10,15
A. Mitrović,27,2026,79,79,19000000.0,70000.0,42,81,81,71,78,68,51,52,53,77,62,68,65,79,64,84,86,79,92,70,91,14,85,70,71,75,25,24,13,15,12,6,7,13
B. Embolo,25,2026,78,81,19000000.0,52000.0,63,77,73,76,77,76,68,58,70,75,78,85,67,77,70,84,76,78,86,71,79,44,82,72,66,74,40,63,38,13,6,7,7,12
S. Sensi,26,"Jun 30, 2023",79,79,19000000.0,66000.0,78,53,45,88,59,84,80,81,83,88,79,69,82,72,85,69,68,65,50,74,71,70,62,86,73,78,61,69,74,10,6,8,11,13
Munir,26,2023,79,79,19000000.0,33000.0,76,79,75,80,80,81,81,67,70,82,79,74,83,75,80,78,66,68,59,77,58,25,75,78,66,75,38,27,25,9,12,6,13,16
N. Pépé,27,"Jun 30, 2023",79,79,18500000.0,83000.0,76,76,57,75,70,85,81,79,66,81,87,88,86,74,75,80,66,66,68,76,43,33,77,74,85,75,36,34,30,11,14,11,6,8
A. Lookman,24,2026,78,80,18500000.0,46000.0,66,85,54,74,66,86,69,51,56,80,89,86,90,76,85,79,64,69,59,75,62,32,85,76,62,78,27,23,24,12,12,9,15,6
A. Barák,27,2027,79,79,18500000.0,58000.0,77,76,68,81,72,82,77,72,79,83,75,73,73,77,69,82,60,86,75,78,64,64,79,81,70,80,61,67,65,14,15,10,12,11
M. Pessina,25,"Jun 30, 2023",78,81,18500000.0,46000.0,70,70,63,83,68,80,76,52,76,82,69,75,69,78,65,74,59,81,68,68,70,72,78,80,60,78,72,73,68,13,9,7,13,7
Lucas Vázquez,31,2024,81,81,18500000.0,140000.0,83,72,58,82,58,81,83,71,76,79,81,82,81,81,82,80,69,91,56,76,72,75,80,79,56,75,74,74,73,9,16,9,9,7
M. Gregoritsch,28,2022,79,79,18000000.0,38000.0,65,82,86,75,76,73,81,76,70,78,53,62,55,79,52,82,34,69,85,74,58,33,83,74,64,73,36,40,38,10,6,9,16,6
L. Ajorque,28,2026,79,79,18000000.0,38000.0,50,83,84,73,79,72,57,51,48,76,58,67,52,82,32,78,66,78,93,70,82,39,84,74,76,78,43,45,35,8,13,14,14,7
L. Muriel,31,2023,80,80,18000000.0,61000.0,71,82,69,79,78,87,79,78,55,83,87,89,85,80,85,80,60,73,72,82,50,16,81,78,89,82,26,24,22,8,10,10,14,6
A. Belotti,28,2023,79,79,18000000.0,74000.0,42,79,84,68,79,75,64,56,48,75,69,78,74,79,77,80,83,78,85,67,83,31,84,61,74,81,44,23,32,13,7,12,14,7
M. Nzola,25,2026,78,80,18000000.0,22000.0,52,80,72,69,60,75,64,44,62,78,87,90,66,78,62,78,72,78,89,62,68,29,78,53,74,76,20,24,28,12,14,6,13,15
V. Muriqi,28,2027,79,79,18000000.0,36000.0,35,83,83,75,70,73,58,53,58,81,47,65,42,80,33,82,79,73,91,75,74,18,81,66,81,75,23,25,22,8,9,14,9,10
N. Füllkrug,29,2025,79,79,17500000.0,35000.0,65,82,84,72,74,74,72,69,58,78,61,62,59,81,60,84,77,63,84,77,78,24,83,74,83,76,41,37,18,15,9,10,13,9
A. Rebić,28,2025,79,79,17500000.0,74000.0,76,77,73,77,81,81,75,66,66,80,83,88,74,82,71,81,66,72,79,78,84,39,80,73,65,75,48,50,31,13,15,12,13,14
Suso,28,2025,79,79,17500000.0,36000.0,80,72,50,80,72,83,83,81,75,84,75,72,79,76,82,77,44,63,50,81,38,20,75,79,72,76,48,23,18,15,15,9,8,9
O. Watkins,26,2025,78,79,17000000.0,82000.0,67,83,81,72,64,75,63,56,59,71,77,89,79,77,73,75,92,88,78,71,52,44,79,74,67,66,40,46,36,14,14,14,6,10
Pablo Sarabia,30,2025,79,79,17000000.0,90000.0,81,73,61,83,64,81,84,74,79,82,74,73,81,77,80,75,31,71,59,76,49,58,79,82,72,76,60,54,49,16,7,15,6,14
S. Diop,22,2027,77,83,17000000.0,35000.0,77,70,39,76,62,82,76,74,68,81,74,69,80,74,83,76,48,76,37,74,68,56,76,77,60,77,56,58,46,14,13,8,9,9
Vitinha,22,2027,76,84,17000000.0,34000.0,58,76,75,66,70,77,55,48,59,74,79,77,72,75,76,81,80,79,80,70,86,36,76,65,65,72,23,29,22,,,,,
Y. Moukoko,17,2026,76,89,17000000.0,9000.0,47,79,65,69,75,79,68,42,44,78,82,83,84,75,85,77,77,64,67,66,52,32,78,59,60,71,30,31,25,13,13,11,10,13
A. Adli,22,2026,76,84,17000000.0,42000.0,65,76,73,71,67,82,73,52,63,81,87,79,85,69,82,78,78,77,60,70,36,30,77,70,68,71,44,35,35,10,8,14,8,12
J. Lindstrøm,22,2026,77,83,17000000.0,25000.0,62,76,44,73,58,83,62,57,67,81,88,87,83,70,82,75,52,75,55,71,75,40,75,78,52,72,46,44,39,11,12,14,13,8
G. Simeone,26,"Jun 30, 2023",78,79,17000000.0,33000.0,55,81,77,71,77,74,71,66,61,78,78,76,75,77,73,83,88,74,74,74,78,24,79,60,75,75,44,38,36,12,15,9,14,11
R. Orsolini,25,2024,78,79,17000000.0,34000.0,75,73,54,74,75,84,82,70,67,84,79,79,83,73,76,79,59,67,72,75,44,40,72,77,74,73,52,26,24,11,11,14,6,12
M. Barrow,23,2024,77,83,17000000.0,31000.0,65,77,63,76,60,81,60,56,58,79,82,85,78,75,57,76,53,73,68,76,40,20,77,72,58,70,45,20,16,8,6,14,14,12
Juanmi,29,2024,79,79,17000000.0,30000.0,78,83,78,77,71,80,65,55,63,81,82,77,79,80,77,77,84,76,56,74,57,23,84,70,64,71,25,28,25,11,6,9,12,9
A. Gómez,34,2024,83,83,17000000.0,46000.0,83,75,38,83,72,84,84,79,79,84,86,83,91,80,93,79,67,73,46,82,58,40,78,83,72,83,48,30,34,8,11,12,9,6
E. Lamela,30,2024,79,79,17000000.0,34000.0,78,73,60,79,75,84,84,81,75,83,78,80,80,78,75,81,55,69,62,79,90,55,78,77,75,76,52,52,54,10,15,11,8,13
Bryan Gil,21,"Jun 30, 2023",77,83,17000000.0,62000.0,79,73,34,75,64,82,68,72,72,78,78,75,89,76,79,64,47,52,35,60,32,30,78,71,52,81,31,32,30,13,10,14,6,6
P. Aubameyang,33,2024,81,81,16500000.0,125000.0,72,83,76,74,81,77,80,76,64,79,78,87,74,79,67,81,75,62,70,77,43,44,83,71,81,79,20,29,36,6,9,15,9,9
H. Ekitike,20,"Jun 30, 2023",76,84,16500000.0,19000.0,51,80,73,68,61,78,58,48,53,76,74,74,68,76,67,76,74,68,72,69,61,18,78,63,63,73,24,17,16,,,,,
J. Doku,20,2025,76,85,16500000.0,30000.0,65,70,37,72,59,83,63,44,59,76,94,89,89,72,87,74,75,63,68,59,58,18,72,71,51,71,22,28,25,11,10,8,9,12
F. Balogun,20,"Jun 30, 2023",76,84,16500000.0,55000.0,56,80,69,69,73,75,59,45,55,75,79,79,74,75,74,75,56,66,73,69,49,18,79,60,74,76,18,15,16,10,12,12,13,10
A. Hložek,19,2027,76,86,16500000.0,29000.0,69,75,73,75,73,77,68,68,68,79,79,72,69,76,78,78,70,76,84,76,69,23,77,78,66,78,23,32,23,11,10,9,11,10
Pedro Neto,22,2027,77,82,16000000.0,68000.0,70,75,49,74,65,81,68,56,56,79,85,84,84,74,85,76,52,66,58,73,55,41,75,73,62,66,32,23,17,6,13,7,12,6
T. Moffi,23,"Jun 30, 2023",77,82,16000000.0,20000.0,50,79,74,65,68,76,59,55,42,75,89,93,58,69,55,80,76,67,88,76,57,15,72,47,65,68,18,23,18,13,11,11,11,12
L. Nmecha,23,2025,77,82,16000000.0,41000.0,58,78,74,76,71,77,61,48,59,80,78,79,73,75,69,79,79,78,79,71,71,37,76,68,81,71,43,33,27,9,11,11,8,6
T. Baldanzi,19,2027,76,86,16000000.0,7000.0,68,72,44,78,70,79,75,62,66,80,74,75,80,70,88,77,59,68,40,72,50,33,76,74,58,69,42,41,48,12,9,10,12,7
V. Castellanos,23,"Jun 30, 2023",77,82,16000000.0,10000.0,58,80,75,77,73,75,65,61,61,75,78,78,74,79,67,78,78,88,72,70,82,29,82,74,73,73,43,37,39,15,6,10,12,8
S. Benrahma,26,2026,78,78,15500000.0,66000.0,74,72,47,77,64,83,73,69,68,81,78,70,85,75,83,75,58,70,53,76,52,40,76,78,69,74,45,35,36,16,7,8,11,11
K. Dolberg,24,"Jun 30, 2023",77,81,15500000.0,39000.0,50,79,74,75,77,77,74,70,60,78,67,80,70,75,63,83,73,72,79,78,32,23,77,74,78,76,28,24,19,7,15,13,9,7
O. Giroud,35,2024,83,83,15500000.0,72000.0,64,87,89,82,86,69,71,65,64,86,41,53,55,86,53,86,82,63,90,69,76,42,88,78,88,85,37,37,20,12,15,11,6,5
L. Jović,24,2024,77,81,15500000.0,47000.0,67,75,79,72,82,76,77,56,61,77,72,72,73,80,78,81,76,69,76,75,62,23,80,70,66,76,25,26,16,8,7,12,9,13
S. Azmoun,27,2027,78,78,15000000.0,54000.0,64,76,82,77,78,77,74,50,63,79,78,81,77,80,76,77,90,68,76,72,67,34,82,77,58,79,39,33,32,6,10,14,9,15
C. De Ketelaere,21,2027,76,83,15000000.0,38000.0,74,71,75,76,76,78,73,72,75,81,73,77,78,76,64,76,69,83,75,73,57,61,76,76,67,72,45,61,57,11,8,14,8,8
A. Laurienté,23,2027,77,81,15000000.0,31000.0,76,74,45,73,75,82,81,85,65,79,77,80,74,73,88,81,55,72,33,82,47,27,75,74,56,70,28,40,43,13,13,8,14,15
Óliver Torres,27,2024,78,78,15000000.0,29000.0,75,69,52,81,63,83,80,64,79,83,66,72,78,76,80,71,50,72,34,71,61,67,76,81,65,80,65,66,58,7,7,14,6,8
J. Ikoné,24,2026,77,80,14500000.0,47000.0,73,64,39,73,59,85,78,72,64,79,90,89,92,73,82,73,34,72,55,68,65,34,72,76,70,76,32,36,36,9,8,13,8,14
C. Kouamé,24,2024,77,80,14500000.0,47000.0,70,75,77,74,69,79,52,45,65,77,79,87,77,77,68,75,85,76,71,66,71,36,80,69,61,70,34,38,32,15,13,6,7,14
D. Calvert-Lewin,25,2025,77,80,14000000.0,42000.0,65,77,88,71,70,71,64,54,47,77,71,86,68,76,64,79,91,64,82,65,76,35,77,64,77,75,38,31,23,12,12,8,7,11
W. Weghorst,29,"Jun 30, 2023",78,78,14000000.0,54000.0,38,76,88,77,78,65,40,48,54,80,53,64,57,81,40,84,72,85,90,68,87,37,80,70,71,74,48,64,42,11,9,14,16,12
D. Ings,29,2025,78,78,14000000.0,74000.0,66,81,78,75,75,76,72,70,61,78,75,69,76,81,77,82,77,72,68,81,67,46,82,70,82,81,38,45,34,10,13,12,16,6
S. Kalajdžić,24,2027,77,79,14000000.0,68000.0,59,82,87,77,73,74,50,47,64,78,64,55,63,78,53,74,54,67,83,62,44,34,81,75,57,74,39,46,47,7,6,13,14,15
A. Delort,30,"Jun 30, 2023",78,78,14000000.0,47000.0,66,78,79,72,78,74,69,69,62,72,79,80,71,72,72,88,77,75,81,75,78,27,77,70,72,76,32,37,25,10,14,10,8,11
A. Plea,29,2025,78,78,14000000.0,32000.0,79,77,73,80,80,77,82,73,77,78,75,69,81,80,79,79,71,77,74,77,67,39,80,81,67,80,29,40,30,11,15,16,12,15
S. El Shaarawy,29,2023,78,78,14000000.0,62000.0,76,73,65,75,85,76,85,68,66,79,86,86,91,75,80,73,69,70,63,78,51,36,76,78,69,77,65,42,35,5,3,5,5,3
U. Sadiq,25,2025,77,80,14000000.0,33000.0,51,80,74,72,65,76,62,45,48,75,81,86,66,70,43,81,84,72,90,69,42,19,71,61,72,67,37,20,19,11,9,13,11,9
M. Dembélé,25,2023,77,79,13500000.0,59000.0,50,77,82,74,74,73,69,58,50,74,69,75,65,77,62,80,82,71,83,65,75,22,80,69,79,76,39,14,16,7,13,11,10,8
A. Sánchez,33,2023,80,80,13500000.0,51000.0,80,81,69,79,83,85,83,80,75,84,75,72,87,79,90,82,85,66,65,84,67,52,87,83,69,82,45,44,35,10,10,15,12,13
K. Iheanacho,25,2024,77,78,13000000.0,74000.0,59,78,65,76,76,80,74,64,69,81,71,74,73,77,69,82,52,66,73,76,71,30,80,77,70,73,39,36,32,8,7,7,11,15
D. Lukébakio,24,2024,77,78,13000000.0,27000.0,70,76,55,73,70,85,70,65,60,83,82,85,77,74,71,83,68,64,68,73,28,26,74,70,80,72,31,29,24,9,7,14,11,12
M. Mudryk,21,2031,75,85,12500000.0,57000.0,69,66,39,66,47,80,62,63,64,79,93,90,86,67,75,69,60,64,53,68,62,28,69,75,52,70,51,52,38,10,12,14,6,7
A. Broja,20,2028,75,83,12500000.0,64000.0,40,77,69,65,64,78,53,36,47,76,69,84,68,73,63,80,62,69,83,61,67,20,76,58,74,72,23,33,23,9,7,15,8,9
D. Gray,26,2024,77,78,12500000.0,40000.0,74,77,31,71,54,84,72,60,58,82,87,86,81,68,78,82,51,70,59,75,41,25,74,72,61,73,42,45,31,6,11,11,13,10
B. Johnson,21,2026,75,85,12500000.0,43000.0,72,76,58,67,73,80,64,43,63,74,87,89,88,65,66,70,40,78,52,67,48,23,68,71,67,70,41,42,53,14,7,13,5,13
M. Damsgaard,21,2027,75,83,12500000.0,35000.0,62,70,51,73,48,82,66,82,70,80,85,79,83,68,87,71,72,69,56,73,65,48,72,76,47,74,54,58,50,6,10,14,11,7
H. Diallo,27,2025,77,78,12500000.0,30000.0,51,80,83,71,75,73,57,49,46,76,69,72,66,77,68,78,87,69,80,70,60,19,80,59,80,67,13,17,17,13,14,14,15,12
J. Burkardt,21,2024,75,83,12500000.0,21000.0,62,76,66,74,70,81,60,44,60,76,82,78,76,75,76,76,75,77,75,67,70,40,76,71,69,68,45,38,33,14,9,9,6,14
R. Borré,26,2025,77,78,12500000.0,31000.0,71,77,74,77,74,77,78,67,69,76,83,69,84,78,79,81,80,85,67,74,86,41,80,78,72,81,44,45,29,11,14,14,11,8
J. Boga,25,2026,77,78,12500000.0,43000.0,78,72,59,73,60,84,78,64,69,79,90,79,88,67,82,80,61,67,63,75,56,41,72,68,55,74,24,42,34,15,8,9,14,16
E. Džeko,36,2023,83,83,12500000.0,72000.0,63,87,87,76,79,77,65,54,76,84,61,65,62,84,55,86,64,69,86,77,58,50,86,74,67,87,54,28,16,9,11,13,15,15
A. Miranchuk,26,"Jun 30, 2023",77,78,12500000.0,49000.0,69,73,63,80,67,80,74,75,75,80,75,76,80,78,78,66,58,68,64,74,43,36,80,79,67,76,22,28,29,8,8,9,12,15
Gabriel Strefezza,25,2025,77,78,12500000.0,20000.0,73,73,31,79,51,79,76,50,72,77,85,80,89,72,84,62,57,77,36,69,50,29,76,77,54,68,32,25,28,15,15,8,10,6
A. Petagna,27,"Jun 30, 2023",77,78,12500000.0,52000.0,60,80,78,75,66,76,59,45,64,80,54,67,55,72,69,80,79,72,93,63,62,22,80,74,80,74,40,27,20,3,3,3,5,3
L. Boyé,26,2024,77,78,12500000.0,23000.0,60,82,75,68,65,79,65,55,57,78,69,70,72,75,68,76,76,69,87,74,78,52,76,67,71,67,45,45,41,14,7,11,15,7
N. Jackson,21,2026,75,83,12500000.0,23000.0,55,80,70,68,72,79,46,50,61,77,77,77,75,67,69,75,73,75,74,73,51,35,73,62,60,62,41,38,39,12,7,12,7,7
Lázaro,20,2028,75,85,12500000.0,18000.0,69,77,68,73,60,78,52,46,72,77,78,81,68,71,71,63,62,68,65,71,43,51,72,72,55,55,32,42,40,7,7,11,14,10
Rodrigo,31,2024,78,78,12000000.0,46000.0,77,77,76,77,75,79,83,67,65,78,77,77,77,79,74,84,76,75,67,76,64,33,80,78,77,78,45,43,38,7,13,10,11,5
M. Gibbs-White,22,2027,76,82,12000000.0,47000.0,67,73,58,78,64,80,73,71,76,78,77,75,84,73,75,74,60,77,66,71,62,58,72,76,58,74,57,57,56,7,7,14,15,11
R. Jiménez,31,2024,78,78,12000000.0,82000.0,73,78,75,78,76,79,75,51,75,78,66,69,70,77,65,86,73,74,84,73,80,53,78,76,92,78,43,38,30,7,11,13,14,10
E. Wahi,19,2025,75,85,12000000.0,15000.0,61,78,64,70,73,77,63,58,57,76,84,90,79,74,71,76,76,70,69,74,57,28,77,66,64,72,25,29,23,13,7,5,12,14
A. Kalimuendo,20,2027,76,82,12000000.0,34000.0,51,77,72,65,75,76,67,55,48,77,83,80,75,75,85,76,57,58,72,73,64,23,78,63,66,76,32,21,17,,,,,
J. Cuadrado,34,2023,81,81,12000000.0,110000.0,83,68,65,80,70,86,84,76,74,82,88,89,89,74,81,84,79,74,61,80,80,72,76,77,65,78,72,79,81,5,5,13,6,9
M. Antonio,32,2024,78,78,11500000.0,71000.0,74,75,84,75,70,78,66,60,72,76,76,83,69,81,77,78,91,70,88,68,84,45,79,73,75,73,48,56,53,12,13,8,14,10
Adama Traoré,26,2023,77,77,11500000.0,77000.0,75,64,40,72,52,89,72,42,54,80,95,95,80,70,88,79,85,74,89,63,76,41,65,67,47,73,37,41,35,13,9,11,12,7
Daniel Podence,26,2024,77,77,11500000.0,77000.0,68,67,42,72,56,86,73,42,69,80,94,67,92,77,93,68,65,74,30,57,67,21,76,76,63,77,42,30,29,14,14,8,7,15
S. Becker,27,2025,77,77,11500000.0,34000.0,74,78,65,71,73,79,66,50,69,77,93,93,78,76,79,79,70,71,73,71,52,45,77,63,66,72,21,32,33,6,14,15,16,13
J. Correa,27,2025,77,77,11500000.0,60000.0,74,74,69,75,75,85,82,63,68,85,69,71,83,72,67,79,63,72,69,69,48,36,74,79,57,73,39,37,26,11,10,7,8,8
Junior Messias,31,2024,78,78,11500000.0,65000.0,69,75,61,77,68,84,74,71,71,81,85,84,81,72,74,72,53,69,58,74,55,46,73,74,62,65,45,51,46,8,8,15,9,12
R. Sottil,23,2026,76,81,11500000.0,44000.0,69,66,42,74,56,79,60,45,62,79,90,89,77,72,75,68,45,55,52,64,50,30,75,72,69,68,32,35,39,12,13,6,5,14
M. Braithwaite,31,2025,78,78,11500000.0,22000.0,68,80,68,75,75,80,72,74,65,80,83,79,81,76,69,78,82,76,75,72,70,29,80,74,73,76,33,30,26,14,13,11,7,8
Samuel Lino,22,"Jun 30, 2023",75,82,11500000.0,36000.0,62,69,58,74,62,77,58,46,65,76,84,79,80,76,78,74,59,82,58,63,53,42,75,69,72,71,30,22,25,,,,,
P. Onuachu,28,2026,77,77,11000000.0,59000.0,41,80,85,73,73,73,58,30,68,78,63,72,42,75,32,75,54,73,93,63,74,41,78,68,86,74,33,48,36,9,12,14,9,8
J. Wind,23,2026,76,80,11000000.0,38000.0,58,77,81,76,67,74,69,65,70,78,66,55,70,76,69,78,72,78,83,68,67,34,77,76,73,73,35,29,22,7,10,10,11,9
I. Bebou,28,2026,77,77,11000000.0,39000.0,74,78,64,74,70,81,66,46,53,77,86,87,79,77,74,77,70,69,69,70,40,31,80,69,67,73,26,35,33,10,11,12,11,11
M. Berisha,24,"Jun 30, 2023",76,80,11000000.0,53000.0,69,76,72,75,77,75,80,77,65,77,72,67,69,76,63,83,65,75,75,75,67,32,77,73,76,72,38,32,26,10,5,10,7,6
Y. Poulsen,28,2024,77,77,11000000.0,53000.0,68,76,86,73,76,77,70,42,53,75,79,78,69,82,54,73,83,84,79,58,83,54,81,71,58,72,53,59,34,6,11,15,14,8
J. Brekalo,24,2026,76,80,11000000.0,44000.0,77,73,45,76,68,80,80,77,73,81,82,79,87,74,83,78,63,72,52,75,41,30,75,74,64,77,35,42,40,9,7,5,6,14
G. Caprari,28,"Jun 30, 2023",77,77,11000000.0,32000.0,74,76,49,77,78,82,83,75,73,81,89,85,89,73,87,75,48,74,54,74,39,35,73,75,75,71,33,28,29,9,8,14,6,11
P. Ciurria,27,2024,77,77,11000000.0,47000.0,72,73,55,77,72,76,76,70,73,76,79,83,82,74,77,75,72,81,54,78,52,50,75,73,66,75,52,62,60,14,8,10,6,9
E. Cavani,35,2024,81,81,11000000.0,37000.0,65,85,85,72,86,70,76,74,52,76,58,63,63,85,57,86,87,58,75,73,81,54,91,73,84,82,45,48,39,12,5,13,13,10
T. Awoniyi,24,2027,76,79,10500000.0,52000.0,57,78,76,69,68,71,55,35,56,70,79,83,69,77,69,82,81,68,84,66,77,33,77,53,70,63,25,27,23,,,,,
M. Oršić,29,2025,77,77,10500000.0,59000.0,78,82,57,70,78,72,84,80,63,76,79,85,86,77,85,82,66,75,60,87,47,59,78,69,81,74,59,59,56,8,13,6,15,14
Lucas Moura,29,2023,77,77,10500000.0,85000.0,70,73,72,71,68,81,71,68,64,76,87,86,90,76,86,79,91,62,59,72,76,54,75,67,72,74,36,42,43,9,10,14,7,14
B. Mbeumo,22,2026,76,79,10500000.0,42000.0,73,74,59,72,78,77,73,68,65,76,84,78,87,76,75,78,68,77,69,73,68,40,78,73,72,68,39,41,37,7,14,15,13,14
Lee Jae Sung,29,2024,77,77,10500000.0,30000.0,68,64,73,80,65,81,70,54,73,80,74,63,85,76,82,68,71,87,48,72,62,57,77,80,50,78,53,61,54,14,7,15,6,8
Willian José,30,2026,77,77,10500000.0,26000.0,53,79,78,75,73,74,68,60,50,77,61,65,65,78,37,83,79,65,88,73,75,35,79,74,76,77,40,32,30,15,14,16,15,8
W. Gnonto,18,2027,74,86,10000000.0,12000.0,58,70,62,70,58,81,52,46,64,78,88,85,86,67,85,74,64,68,67,67,59,25,72,61,63,74,37,21,19,11,9,10,10,13
R. Cherki,18,2023,74,87,10000000.0,16000.0,70,64,28,73,57,86,77,73,68,79,74,68,82,69,83,76,31,56,67,68,57,22,69,72,61,77,19,23,15,7,14,6,8,8
S. Mavididi,24,2024,76,79,10000000.0,20000.0,71,76,70,72,69,78,62,56,67,76,88,87,74,72,71,78,73,72,74,74,48,24,75,69,59,72,30,18,20,6,10,6,8,16
A. Harit,25,2027,76,79,10000000.0,37000.0,72,65,55,75,63,83,67,54,71,81,83,82,84,74,73,54,43,63,40,60,46,29,69,77,68,74,44,44,27,15,13,10,13,6
R. Saponara,30,2023,77,77,10000000.0,53000.0,74,68,58,80,73,81,82,70,72,83,69,69,71,74,74,75,59,62,60,78,52,30,76,84,68,77,54,34,30,5,3,5,5,3
Guruzeta,25,2024,76,79,10000000.0,26000.0,60,78,79,77,69,75,58,52,62,76,74,72,74,74,68,77,74,72,75,71,62,30,73,69,71,66,33,28,26,12,14,11,10,5
Puado,24,2025,76,79,10000000.0,17000.0,67,75,76,75,63,76,63,55,60,77,84,83,80,76,76,75,81,83,75,72,66,41,76,68,74,73,45,46,39,8,9,11,8,13
A. Gordon,21,2028,74,83,9500000.0,51000.0,75,67,49,73,48,77,76,75,66,76,87,90,75,68,68,74,58,76,56,71,62,31,67,68,65,65,34,40,33,5,6,14,7,8
K. Sulemana,20,2027,74,84,9500000.0,32000.0,64,72,42,70,62,80,70,50,58,79,92,93,89,62,88,70,75,66,60,65,52,26,68,68,56,75,30,25,25,6,13,7,12,14
David Costa,21,2024,74,82,9500000.0,22000.0,65,69,34,71,55,82,69,60,62,79,76,72,85,71,84,66,40,51,40,74,46,32,68,67,48,76,36,30,35,6,8,9,10,10
Jeffinho,22,2027,74,83,9500000.0,44000.0,62,61,35,72,53,84,63,44,62,77,86,89,88,72,64,56,49,72,39,38,35,38,72,69,55,60,32,36,30,11,10,14,14,9
M. Boadu,21,2026,74,82,9500000.0,32000.0,52,75,61,68,72,74,62,59,54,73,90,87,84,77,74,77,83,69,67,67,47,23,79,66,66,73,29,22,18,9,15,14,6,11
T. Dallinga,21,2026,74,84,9500000.0,14000.0,43,79,74,71,67,69,56,43,55,72,73,76,55,70,65,70,75,77,70,68,42,21,78,69,68,73,20,24,23,11,6,15,10,13
